Length,WEB DEPTH,FLANGE WIDTH,THICKNESS,LIP LENGTH,BOUNDARYCONDITIONS,BucklingLoad
,,,,,,
274,74.7,19.2,3.03,10.2,fixed,173.8
679,73.9,19.4,3.01,11.4,fixed,145.8
679,73.9,19.4,3.01,11.4,hinged,145.8
284,73.6,19.7,3.02,10.9,fixed,156.9
284,73.6,19.7,3.02,10.9,fixed,156.9
678,73.6,19.7,3.01,10.5,hinged,131.8
1144,76.3,20.1,3.01,10.4,fixed,90
1144,76.3,20.1,3.01,10.4,fixed,90
1131,76,20.1,3,10.4,hinged,81.7
2183,73.7,20.3,3.02,10.9,hinged,34.6
2181,74.1,20.5,3,10.8,fixed,45.7
282,73.7,19.7,2.53,11.2,fixed,120.6
681,73.8,19.6,2.5,11.4,hinged,116.6
672,73.4,19.7,2.51,10.6,hinged,104.6
1182,75.8,19.8,2.52,10.7,hinged,63.8
268,74.6,19.7,2.5,10.2,fixed,133.6
2180,74.6,20.2,2.52,10.7,fixed,30.9
2184,73.9,20.2,2.51,10.8,hinged,23.8
1137,76.8,20.7,2.52,10.2,fixed,78.4
676,73.8,19.1,2.02,11.3,hinged,88.9
276,72.4,19.6,2.02,10.8,fixed,92.6
670,73.6,19.6,2.01,10.3,hinged,75.9
276,73.8,19.6,2,10.7,fixed,104.3
1133,75.5,19.7,2,10.7,hinged,44.6
1139,76.4,20.3,2.02,10.5,fixed,54
2184,73.8,20.3,1.99,10.8,hinged,16.6
2175,75.5,20.9,2.02,10.7,fixed,22.9
668,73.6,19.5,1.52,10.2,hinged,50.1
281,74.3,19.5,1.51,10.2,fixed,80.4
280,73.5,19.8,1.52,10.5,fixed,72.6
681,73.7,19.3,1.48,10.6,fixed,61.1
681,73.7,19.3,1.48,10.6,hinged,61.1
1131,75.4,19.8,1.51,10.6,hinged,30.3
1142,76.2,20.2,1.51,10.5,fixed,36.3
2183,73.6,20.2,1.49,10.6,hinged,8
2170,75.4,20.8,1.51,10.9,fixed,7.4
199.78,44.69,13.71,0.89,0,fixed,14.56
200.03,44.65,13.81,0.89,0,fixed,14.88
200.02,44.64,13.87,0.89,0,fixed,14.37
200.03,44.7,13.72,0.88,0,fixed,14.94
274,74.1,19.6,1.22,10.6,fixed,68.4
274,74.1,19.6,1.22,10.6,fixed,68.4
657,73.6,19.2,1.19,10.2,fixed,49
657,73.6,19.2,1.19,10.2,fixed,49
657,73.6,19.2,1.19,10.2,hinged,49
271,73.7,19.6,1.21,10.3,fixed,60.6
271,73.7,19.6,1.21,10.3,fixed,60.6
689,73.6,19.5,1.19,10.2,fixed,42
689,73.6,19.5,1.19,10.2,hinged,42
2184,73.2,20.3,1.23,10.7,hinged,4.6
1133,75.3,20.2,1.22,10.5,fixed,22
1133,75.3,20.2,1.22,10.5,hinged,22
1140,76.3,20.4,1.2,10.6,fixed,26.7
1140,76.3,20.4,1.2,10.6,fixed,26.7
2178,75.2,20.6,1.21,10.8,fixed,4.3
254,76.84,41.15,2.21,15.49,hinged,104.58
617.5,103.8,47,2.481,19,fixed,248.2
618.5,105.2,51.9,2.476,19.2,fixed,256.7
431.8,127.94,63.27,3,22.3,hinged,201.59
616,101.4,52.8,2.481,19.3,fixed,254.1
199.91,31.8,24.6,1.15,0,fixed,21.1
199.72,31.8,24.62,1.15,0,fixed,23.39
254,67.18,34.98,1.63,15.82,fixed,58.74
254,67.18,34.98,1.63,15.82,hinged,58.74
200.1,31.93,24.76,1.15,0,fixed,22.46
200.02,31.92,24.77,1.14,0,fixed,22.8
498,60,36,1.6,12,hinged,48.3
254,76.23,41.45,1.8,15.37,fixed,80.1
254,76.23,41.45,1.8,15.37,hinged,80.1
254,76.15,44.6,1.91,17.63,fixed,131.9
730,80,49,2,11,hinged,79.8
813,86,49,2,11,hinged,80.8
576,65,40,1.6,14,hinged,56.8
876,91,50,2,10,hinged,82.2
1500.1,238.5,44.9,1.79,14.7,hinged,60.8
1500.1,238.5,44.9,1.79,14.7,hinged,60.8
1502.5,240.5,44.2,1.74,14.8,hinged,59.5
1502.5,240.5,44.2,1.74,14.8,hinged,59.5
1504.8,239,44.6,1.75,15.5,hinged,62.3
1505.8,239,44.6,1.75,15.5,hinged,62.3
399.89,31.85,32.5,1.15,0,fixed,19.48
399.87,31.88,32.53,1.15,0,fixed,21.46
399.81,31.87,32.54,1.15,0,fixed,18.48
399.98,31.81,32.44,1.14,0,fixed,18.5
1502.8,189,44.5,1.43,14.5,hinged,54.9
1502.8,189,44.5,1.43,14.5,hinged,54.9
500,150,50,1.6,20,hinged,41.33
700,150,50,1.6,20,hinged,32.11
1000,150,50,1.6,20,hinged,30.09
749.8,188.5,44.5,1.42,15.8,hinged,75.6
749.8,188.5,44.5,1.42,15.8,fixed,75.6
1303.9,189.5,44.8,1.41,15.2,hinged,59.7
1303.9,189.5,44.8,1.41,15.2,hinged,59.7
940.5,114.8,86.4,2.482,24.5,fixed,299.2
939,113.9,86.5,2.479,26.6,fixed,309.1
936.5,109.8,88.5,2.473,19.5,fixed,296.6
1500,174.9,64.17,1.53,17.74,hinged,91.4
1999.8,175.62,63.86,1.52,18.86,hinged,78.4
1499.8,175.23,64.35,1.53,17.8,hinged,95.1
1000,174.85,64.23,1.52,17.76,hinged,98.3
2098.5,105,103.5,2.444,27.2,fixed,212.6
1500,174.97,63.84,1.5,18.5,hinged,85.3
1000.1,174.94,64.45,1.51,17.72,hinged,99.8
2000,175.4,64.12,1.5,17.48,hinged,75.8
1000,174.89,64.27,1.5,17.82,hinged,98.7
2000.1,175.33,64.74,1.51,18.57,hinged,88.8
1000.1,199.84,69.23,1.53,0,hinged,33.6
1500.1,145.41,69.92,1.54,25.74,hinged,98.2
1500,199.87,69.48,1.53,0,hinged,36.3
999.8,199.85,69.53,1.53,0,hinged,42.7
1000.1,199.6,69.3,1.52,0,hinged,43.8
1500.2,199.9,69.83,1.52,0,hinged,37.1
2000,145.3,69.84,1.52,25.5,hinged,97.8
1500.1,199.66,70.3,1.53,0,hinged,35.2
1000.1,145.39,69.89,1.52,25.64,hinged,109.3
1500,145.34,69.92,1.52,26.01,hinged,99.6
1500.2,145.28,69.97,1.51,25.29,hinged,95
2000.3,199.83,70.5,1.52,0,hinged,31.7
2000.1,145.42,70.54,1.52,26.46,hinged,89.6
1000.2,144.9,70.43,1.51,24.6,hinged,110.8
2000,199.92,69.57,1.49,0,hinged,33.8
2000.4,199.82,70.55,1.51,0,hinged,33.1
2000.3,145.62,69.88,1.49,25.4,hinged,90.8
1000,145.13,70.09,1.49,25.73,hinged,109
499.66,32.05,54.85,1.15,0,fixed,11.08
499.56,31.97,54.87,1.14,0,fixed,11.98
499.75,31.98,54.89,1.14,0,fixed,12.37
499.46,32.04,54.93,1.14,0,fixed,12.51
1401,58,48.2,1,12.8,fixed,51.13
1401,58,48.2,0.983,12.8,fixed,51.13
1756.5,115,102.5,2.022,25.8,fixed,164
1550,66.8,55.95,1.09,11.65,fixed,42.41
2101.5,103.7,103.4,2.011,30.3,fixed,174.9
1860.5,114.7,103.1,1.998,28.2,fixed,170.8
1650,66.8,55.9,1.08,11.75,fixed,40.16
1500,66.5,56.05,1.08,11.65,fixed,43.02
1900,66.8,56.15,1.08,11.75,fixed,39.46
1800,66.6,55.95,1.07,11.75,fixed,35.88
1850,66.7,56,1.07,11.7,fixed,38.2
480,161.7,103.7,1.98,23.4,fixed,202.2
1851,73.2,63.3,1.204,12.4,fixed,66.82
1602,63.3,52.6,1,12.7,fixed,50.55
1851,73.2,63.3,1.2,12.4,fixed,66.82
1500.1,125.24,80.74,1.53,25.94,hinged,106.2
1000,125.19,80.74,1.52,25.69,hinged,110.3
1602,63.3,52.6,0.989,12.7,fixed,50.55
480,160,104.4,1.96,0,fixed,123.8
1500.4,125.11,81.09,1.52,26.55,hinged,107.9
1000.2,125.07,81.15,1.52,25.91,hinged,113.8
1500,125.06,81.08,1.51,26,hinged,103.8
1148,118.6,81.9,1.525,15.9,fixed,103.6
2000.1,125.31,81.68,1.52,26.16,hinged,105.3
2000.3,125.42,81.83,1.52,26.09,hinged,101.6
2000.1,125.26,80.75,1.49,25.65,hinged,99.6
1148,110.5,82.2,1.515,16.1,fixed,109
1148.5,118.5,82,1.509,15.7,fixed,102.8
1000.1,125.27,81.13,1.48,25.7,hinged,107.7
1148,118.6,81.9,1.469,15.9,fixed,103.6
2300,74.7,60.95,1.09,11.85,fixed,34.77
2350,74.8,61.35,1.09,11.8,fixed,31.29
1148,110.5,82.2,1.459,16.1,fixed,109
1149,118.5,82,1.453,15.7,fixed,102.8
1395,53.5,56.7,1,12.5,fixed,46.15
2100,75.2,61.25,1.08,11.7,fixed,37.89
1030,182.1,113.1,1.985,19.2,fixed,145.2
2100,78.4,68.4,1.2,12.5,fixed,60.74
2250,75.3,61.1,1.07,11.8,fixed,39.3
1026,181.1,112.5,1.966,20.2,fixed,146.1
1899,68.5,57.3,1,12.8,fixed,46.24
1395,53.5,56.7,0.985,12.5,fixed,46.15
1899,68.5,57.3,0.986,12.8,fixed,46.24
2100,78.4,68.4,1.174,12.5,fixed,60.74
1800,152.24,56.08,0.96,10.52,fixed,29.8
1030,182.1,113.1,1.934,19.2,fixed,145.2
1026,181.1,112.5,1.915,20.2,fixed,146.1
1200,151.54,56.64,0.96,10.92,fixed,28.1
1400,151.54,56.79,0.96,11.02,fixed,30
1600,151.84,56.87,0.96,10.52,fixed,29.35
1000,151.04,57.04,0.96,10.58,fixed,29.5
2150,79.8,65.7,1.1,11.8,fixed,44.32
1896,70.8,72.3,1.2,12.2,fixed,61.67
2350,79.6,65.8,1.09,11.95,fixed,36.11
1027,182.5,122.5,2.025,19.4,fixed,142.5
2500,78.9,66,1.09,11.75,fixed,41.57
1896,70.8,72.3,1.193,12.2,fixed,61.67
2200,78.4,66.5,1.09,11.9,fixed,39.82
2550,79.3,65.95,1.08,11.75,fixed,37.32
2600,79.4,66.05,1.08,11.75,fixed,38.28
2402,83.3,73.4,1.2,11.9,fixed,55.47
1649,57.6,61.4,1.001,12.5,fixed,44.2
1651,57.5,61.4,1,12.4,fixed,44.78
1649,57.6,61.4,1,12.5,fixed,44.2
1651,57.5,61.4,0.997,12.4,fixed,44.78
1027,182.5,122.5,1.974,19.4,fixed,142.5
2402,83.3,73.4,1.176,11.9,fixed,55.47
1699,62.7,63.9,1,12.4,fixed,42.59
1699,62.7,63.9,0.987,12.4,fixed,42.59
2750,88.5,78.3,1.204,12.3,fixed,52.06
2004,70.9,78.3,1.203,11.9,fixed,59.19
2004,70.9,78.3,1.2,11.9,fixed,59.19
2750,88.5,78.3,1.2,12.3,fixed,52.06
1800,178.04,62.7,0.96,12.22,fixed,28.8
1400,178.54,62.84,0.96,12.29,fixed,31.36
1200,179.54,63.04,0.96,11.77,fixed,31.75
1000,178.64,63.04,0.96,11.87,fixed,31.85
1600,178.7,63.13,0.96,11.8,fixed,31.5
1951,62.6,66.2,1.001,12.5,fixed,39.83
1951,62.6,66.2,1,12.5,fixed,39.83
480,161.4,102.7,1.54,23.3,fixed,129.8
480,161.1,103.1,1.54,0,fixed,83.6
2302,75.7,82.9,1.2,12,fixed,49.49
2302,75.7,82.9,1.194,12,fixed,49.49
2300,68.7,71,1,12.5,fixed,39.68
2300,68.7,71,0.976,12.5,fixed,39.68
2603,82.1,87.7,1.2,11.8,fixed,47.46
2603,82.1,87.7,1.171,11.8,fixed,47.46
2499,94.9,80.9,1.013,16.9,fixed,42
2499,101.8,82.1,1.019,15.5,fixed,42.1
1945.5,238.9,162.7,2.017,21.1,fixed,129.7
1947,238.2,162.3,1.998,23.1,fixed,131.6
800,120.5,89.5,1.1,7,fixed,29.88
600,120.4,89.55,1.095,7,fixed,25.392
2498,104.9,81.6,0.997,15.2,fixed,39.9
400,120.8,89.7,1.095,7,fixed,23.03
800,119.55,89.65,1.085,4.8,fixed,14.69
800,119.8,89.75,1.085,6,fixed,18.29
2499,94.9,80.9,0.978,16.9,fixed,42
1946,238.9,162.7,1.966,21.1,fixed,129.7
1947,238.2,162.3,1.947,23.1,fixed,131.6
2499,101.8,82.1,0.984,15.5,fixed,42.1
2498,104.9,81.6,0.962,15.2,fixed,39.9
480,160,102.5,1.04,0,fixed,40
480,159.2,102.7,1.04,23,fixed,68.4
1426,152.4,131,1.26,15.8,fixed,71
1424.5,152.5,131.2,1.26,14.7,fixed,68.1
1426,152.4,131,1.227,15.8,fixed,71
1425,152.5,131.2,1.227,14.7,fixed,68.1
1426,154.5,141,1.239,15,fixed,67.7
1426,154.5,141,1.206,15,fixed,67.7
1851.5,203.7,192.7,1.534,19,fixed,92.9
1849,204.7,191.9,1.515,20.6,fixed,94.7
1852,203.7,192.7,1.478,19,fixed,92.9
1849,204.7,191.9,1.459,20.6,fixed,94.7
